[CLEANUP] removed 43 existing image files from rollout_outputs\episode_000001
[DEBUG] current ee from get_ee_pose = (0.00, 14.74, 9.44) cm
[DEBUG] IK(current ee) = [-0.002687362869719087, -10.001873547968852, -140.00075588457761, 60.002629432546456]
[SCENE] instruction='grasp the blue cylinder' | target_color='blue' | target_xy=(0.076, 0.232) | objects={'red': {'body_name': 'target_object', 'xy': [-0.050859323590297434, 0.18242776161896268], 'yaw': -0.06543029476111506}, 'blue': {'body_name': 'target_object_blue', 'xy': [0.07597137984537713, 0.2324233775929463], 'yaw': -0.5546711094697813}, 'green': {'body_name': 'target_object_green', 'xy': [0.002377650100147538, 0.24487300914872956], 'yaw': -0.01339765180120045}, 'yellow': {'body_name': 'target_object_yellow', 'xy': [0.023637190443957318, 0.19882081586789127], 'yaw': -0.5116409431825885}}
[000] OK | final_delta=[-0.005, 0.0022, -0.001] | move=[-0.005, 0.0022, -0.001] | target=[-0.005, 0.1495, 0.0932] | gripper=0.0 | retries=0
[001] OK | final_delta=[-0.005, 0.0022, -0.001] | move=[-0.005, 0.0022, -0.001] | target=[-0.01, 0.1513, 0.092] | gripper=0.0 | retries=0
[002] OK | final_delta=[-0.005, 0.0022, -0.001] | move=[-0.005, 0.0022, -0.001] | target=[-0.015, 0.1532, 0.0907] | gripper=0.0 | retries=0
[003] OK | final_delta=[-0.0014, 0.005, -0.0016] | move=[-0.0014, 0.005, -0.0016] | target=[-0.0164, 0.1578, 0.089] | gripper=0.0 | retries=0
[004] OK | final_delta=[-0.0014, 0.005, -0.0016] | move=[-0.0014, 0.005, -0.0016] | target=[-0.0177, 0.1622, 0.0872] | gripper=0.0 | retries=0
[005] OK | final_delta=[-0.0014, 0.005, -0.0016] | move=[-0.0014, 0.005, -0.0016] | target=[-0.0191, 0.1666, 0.0854] | gripper=0.0 | retries=0
[006] OK | final_delta=[-0.0005, 0.005, -0.0037] | move=[-0.0005, 0.005, -0.0037] | target=[-0.0196, 0.171, 0.0815] | gripper=0.0 | retries=0
[007] OK | final_delta=[-0.0005, 0.005, 0.0016] | move=[-0.0005, 0.005, 0.0016] | target=[-0.0201, 0.1754, 0.083] | gripper=0.0 | retries=0
[008] OK | final_delta=[-0.0005, 0.005, -0.001] | move=[-0.0005, 0.005, -0.001] | target=[-0.0204, 0.1798, 0.0814] | gripper=0.0 | retries=0
[009] OK | final_delta=[-0.0005, 0.005, -0.0016] | move=[-0.0005, 0.005, -0.0016] | target=[-0.0208, 0.1842, 0.0794] | gripper=0.0 | retries=0
[010] OK | final_delta=[-0.0005, 0.0025, -0.005] | move=[-0.0005, 0.0025, -0.005] | target=[-0.0212, 0.1861, 0.074] | gripper=0.0 | retries=0
