step,stage,instruction,target_color,latency_ms,raw_action7,assisted_action7,ee_pose_before,goal_xyz,target_xy_dist,exec_success,final_delta_xyz,gripper_cmd,target_object_z,target_object_lift
0,approach,grasp the red cylinder,red,434.51809999533,"[-0.00018668978233984598, 0.005117990082488213, -0.002291172058321529, 0.0, 0.0, 0.0, 0.0]","[2.238804484022694e-07, 0.006000000052154064, -0.006000000052154064, 0.0, 0.0, 0.0, 0.0]","[-2.238804484022694e-07, 0.14728718996047974, 0.09420847147703171]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.022712811827659607,True,"[2.238804484022694e-07, 0.006, -0.006]",0.0,0.009977083653211594,0.0
1,approach,grasp the red cylinder,red,300.1258000731468,"[-0.0006361359540080786, 0.007416832296294161, 0.0010755718071196376, 0.0, 0.0, 0.0, 0.0]","[-4.3706421593014966e-07, 0.006000000052154064, -0.006000000052154064, 0.0, 0.0, 0.0, 0.0]","[4.3706421593014966e-07, 0.15108799934387207, 0.0908820852637291]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.018912002444267273,True,"[-4.3706421593014966e-07, 0.006, -0.006]",0.0,0.009977083653211594,0.0
2,approach,grasp the red cylinder,red,283.1377999391407,"[-0.0005462467196744331, 0.004433228571992825, -0.001040667194014808, 0.0, 0.0, 0.0, 0.0]","[-5.121028152643703e-07, 0.006000000052154064, -0.006000000052154064, 0.0, 0.0, 0.0, 0.0]","[5.121028152643703e-07, 0.1551063060760498, 0.0868101567029953]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.014893695712089539,True,"[-5.121028152643703e-07, 0.006, -0.006]",0.0,0.009977083653211594,0.0
3,approach,grasp the red cylinder,red,308.8797000236809,"[-0.0006361359540080786, 0.004286493962600955, -0.001040667194014808, 0.0, 0.0, 0.0, 0.0]","[-5.003385012969375e-07, 0.006000000052154064, -0.006000000052154064, 0.0, 0.0, 0.0, 0.0]","[5.003385012969375e-07, 0.15910395979881287, 0.08279760181903839]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.010896041989326477,True,"[-5.003385012969375e-07, 0.006, -0.006]",0.0,0.009977083653211594,0.0
4,descend,grasp the red cylinder,red,368.94840002059937,"[0.0001728671549947377, 0.0029169709416101784, -0.01450764265577948, 0.0, 0.0, 0.0, 0.0]","[-4.924930863126065e-07, 0.006000000052154064, -0.006000000052154064, 0.0, 0.0, 0.0, 0.0]","[4.924930863126065e-07, 0.16308695077896118, 0.07872340083122253]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.006913051009178162,True,"[-4.924930863126065e-07, 0.006, -0.006]",0.0,0.009977083653211594,0.0
5,descend,grasp the red cylinder,red,285.52250005304813,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-4.845533112529665e-07, 0.0029406845569610596, -0.006000000052154064, 0.0, 0.0, 0.0, 0.0]","[4.845533112529665e-07, 0.16705931723117828, 0.07460810244083405]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.0029406845569610596,True,"[-4.845533112529665e-07, 0.0029406845569610596, -0.006]",0.0,0.009977083653211594,0.0
6,descend,grasp the red cylinder,red,284.2483001295477,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-3.2612300060463895e-07, 0.0009599626064300537, -0.006000000052154064, 0.0, 0.0, 0.0, 0.0]","[3.2612300060463895e-07, 0.1690400391817093, 0.07037647813558578]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.0009599626646377146,True,"[-3.2612300060463895e-07, 0.0009599626064300537, -0.006]",0.0,0.009977083653211594,0.0
7,descend,grasp the red cylinder,red,295.5309997778386,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-2.1442245667913085e-07, 0.0003574788570404053, -0.006000000052154064, 0.0, 0.0, 0.0, 0.0]","[2.1442245667913085e-07, 0.16964252293109894, 0.06610320508480072]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.0003574789152480662,True,"[-2.1442245667913085e-07, 0.0003574788570404053, -0.006]",0.0,0.009977083653211594,0.0
8,descend,grasp the red cylinder,red,307.4128997977823,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-1.737762289621969e-07, 0.0001773238182067871, -0.006000000052154064, 0.0, 0.0, 0.0, 0.0]","[1.737762289621969e-07, 0.16982267796993256, 0.061828214675188065]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.00017732390551827848,True,"[-1.737762289621969e-07, 0.0001773238182067871, -0.006]",0.0,0.009977083653211594,0.0
9,descend,grasp the red cylinder,red,319.65640000998974,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-1.5668652508793457e-07, 0.00012111663818359375, -0.006000000052154064, 0.0, 0.0, 0.0, 0.0]","[1.5668652508793457e-07, 0.16987888514995575, 0.057557813823223114]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.00012111674004700035,True,"[-1.5668652508793457e-07, 0.00012111663818359375, -0.006]",0.0,0.009977083653211594,0.0
10,descend,grasp the red cylinder,red,315.38600008934736,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-1.4568995254649053e-07, 0.0001115649938583374, -0.006000000052154064, 0.0, 0.0, 0.0, 0.0]","[1.4568995254649053e-07, 0.169888436794281, 0.053282879292964935]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.00011156508844578639,True,"[-1.4568995254649053e-07, 0.0001115649938583374, -0.006]",0.0,0.009977083653211594,0.0
11,descend,grasp the red cylinder,red,293.43910003080964,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-1.3657324871019227e-07, 0.0001147538423538208, -0.006000000052154064, 0.0, 0.0, 0.0, 0.0]","[1.3657324871019227e-07, 0.16988524794578552, 0.0490056648850441]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.00011475392238935456,True,"[-1.3657324871019227e-07, 0.0001147538423538208, -0.006]",0.0,0.009977083653211594,0.0
12,descend,grasp the red cylinder,red,292.7265998441726,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-1.2758424361436482e-07, 0.0001236945390701294, -0.006000000052154064, 0.0, 0.0, 0.0, 0.0]","[1.2758424361436482e-07, 0.1698763072490692, 0.04472661018371582]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.0001236945972777903,True,"[-1.2758424361436482e-07, 0.0001236945390701294, -0.006]",0.0,0.009977083653211594,0.0
13,descend,grasp the red cylinder,red,338.4680999442935,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-1.1869320815094397e-07, 0.000131949782371521, -0.006000000052154064, 0.0, 0.0, 0.0, 0.0]","[1.1869320815094397e-07, 0.16986805200576782, 0.04044746235013008]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.0001319498405791819,True,"[-1.1869320815094397e-07, 0.000131949782371521, -0.006]",0.0,0.009977083653211594,0.0
