step,stage,instruction,target_color,latency_ms,raw_action7,assisted_action7,ee_pose_before,goal_xyz,target_xy_dist,exec_success,final_delta_xyz,gripper_cmd,target_object_z,target_object_lift
0,approach,grasp the blue cylinder,blue,330.7240998838097,"[-0.0055800438423586176, 0.0021832978946508333, -0.001040667194014808, 0.0, 0.0, 0.0, 0.0]","[0.00800000037997961, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[-2.238804484022694e-07, 0.14728718996047974, 0.09420847147703171]","[0.08564220368862152, 0.16211262345314026, 0.06499999761581421]",0.08691616356372833,True,"[0.008, 0.008, -0.008]",0.0,0.00999485980719328,-8.04942101240158e-06
1,approach,grasp the blue cylinder,blue,480.19109992310405,"[-0.0009058036570090151, 0.011134109067554843, -0.0035416769226282504, 0.0, 0.0, 0.0, 0.0]","[0.00800000037997961, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.0075302221812307835, 0.1520569920539856, 0.09004657715559006]","[0.08564220368862152, 0.16211262345314026, 0.06499999761581421]",0.07875657081604004,True,"[0.008, 0.008, -0.008]",0.0,0.009990124963223934,-1.2784264981746674e-05
2,approach,grasp the blue cylinder,blue,280.3171998821199,"[0.005026885809011632, 0.002868059405146222, -0.0005597037846660716, 0.0, 0.0, 0.0, 0.0]","[0.00800000037997961, 0.005162030458450317, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.014952974393963814, 0.15695059299468994, 0.0850636214017868]","[0.08564220368862152, 0.16211262345314026, 0.06499999761581421]",0.07087745517492294,True,"[0.008, 0.005162030458450317, -0.008]",0.0,0.009958801791071892,-4.410743713378906e-05
3,approach,grasp the blue cylinder,blue,269.36210016719997,"[0.0004425348579956776, 0.002770236332218309, 0.0005946083977709012, 0.0, 0.0, 0.0, 0.0]","[0.00800000037997961, 0.002117156982421875, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.022380882874131203, 0.15999546647071838, 0.08000156283378601]","[0.08564220368862152, 0.16211262345314026, 0.06499999761581421]",0.06329674273729324,True,"[0.008, 0.002117156982421875, -0.008]",0.0,0.009914509952068329,-8.839927613735199e-05
4,approach,grasp the blue cylinder,blue,290.20170005969703,"[0.0004425348579956776, 0.002770236332218309, 0.0005946083977709012, 0.0, 0.0, 0.0, 0.0]","[0.00800000037997961, 0.0011256486177444458, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.0298786424100399, 0.1609869748353958, 0.07483693212270737]","[0.08564220368862152, 0.16211262345314026, 0.06499999761581421]",0.05577491968870163,True,"[0.008, 0.0011256486177444458, -0.008]",0.0,0.009984977543354034,-1.7931684851646423e-05
5,approach,grasp the blue cylinder,blue,272.5932998582721,"[0.0001728671549947377, 0.0011072440924437936, -0.01450764265577948, 0.0, 0.0, 0.0, 0.0]","[0.00800000037997961, 0.0008981525897979736, -0.004666388034820557, 0.0, 0.0, 0.0, 0.0]","[0.037383005023002625, 0.16121447086334229, 0.06966638565063477]","[0.08564220368862152, 0.16211262345314026, 0.06499999761581421]",0.04826755449175835,True,"[0.008, 0.0008981525897979736, -0.004666388034820557]",0.0,0.009950515814125538,-5.2393414080142975e-05
6,approach,grasp the blue cylinder,blue,473.0990999378264,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[0.00800000037997961, 0.0009990185499191284, -0.0014386698603630066, 0.0, 0.0, 0.0, 0.0]","[0.04480903968214989, 0.16111360490322113, 0.06643866747617722]","[0.08564220368862152, 0.16211262345314026, 0.06499999761581421]",0.04084538295865059,True,"[0.008, 0.0009990185499191284, -0.0014386698603630066]",0.0,0.009993789717555046,-9.119510650634766e-06
7,approach,grasp the blue cylinder,blue,302.1105998195708,"[-0.00018668978233984598, -0.0005557481473307214, -0.0030607135132795105, 0.0, 0.0, 0.0, 0.0]","[0.00800000037997961, 0.0011432021856307983, -0.00024375319480895996, 0.0, 0.0, 0.0, 0.0]","[0.052150409668684006, 0.16096942126750946, 0.06524375081062317]","[0.08564220368862152, 0.16211262345314026, 0.06499999761581421]",0.03351129963994026,True,"[0.008, 0.0011432021856307983, -0.00024375319480895996]",0.0,0.009997591376304626,-5.317851901054382e-06
8,approach,grasp the blue cylinder,blue,372.1642999444157,"[0.0001728671549947377, 0.0011072440924437936, -0.01450764265577948, 0.0, 0.0, 0.0, 0.0]","[0.00800000037997961, 0.0012755990028381348, 0.00020437687635421753, 0.0, 0.0, 0.0, 0.0]","[0.059398580342531204, 0.16083702445030212, 0.06479562073945999]","[0.08564220368862152, 0.16211262345314026, 0.06499999761581421]",0.026274606585502625,True,"[0.008, 0.0012755990028381348, 0.00020437687635421753]",0.0,0.009735516272485256,-0.00026739295572042465
9,approach,grasp the blue cylinder,blue,302.4808999616653,"[0.0003526456236620304, 0.001449624847691488, -0.01450764265577948, 0.0, 0.0, 0.0, 0.0]","[0.00800000037997961, 0.001390308141708374, 0.00037799030542373657, 0.0, 0.0, 0.0, 0.0]","[0.06655295193195343, 0.16072231531143188, 0.06462200731039047]","[0.08564220368862152, 0.16211262345314026, 0.06499999761581421]",0.019139815121889114,True,"[0.008, 0.001390308141708374, 0.00037799030542373657]",0.0,0.009998698718845844,-4.210509359836578e-06
10,approach,grasp the blue cylinder,blue,300.18849996849895,"[0.0003526456236620304, 0.001449624847691488, -0.01450764265577948, 0.0, 0.0, 0.0, 0.0]","[0.00800000037997961, 0.0014883726835250854, 0.0004642754793167114, 0.0, 0.0, 0.0, 0.0]","[0.07360620051622391, 0.16062425076961517, 0.0645357221364975]","[0.08564220368862152, 0.16211262345314026, 0.06499999761581421]",0.012127680703997612,True,"[0.008, 0.0014883726835250854, 0.0004642754793167114]",0.0,0.009944808669388294,-5.810055881738663e-05
11,descend,grasp the blue cylinder,blue,274.19660007581115,"[0.0003526456236620304, 0.001449624847691488, -0.01450764265577948, 0.0, 0.0, 0.0, 0.0]","[0.005093120038509369, 0.0015644878149032593, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.08054908365011215, 0.160548135638237, 0.06448831409215927]","[0.08564220368862152, 0.16211262345314026, 0.02199999988079071]",0.005327991675585508,True,"[0.005093120038509369, 0.0015644878149032593, -0.008]",0.0,0.009877961128950119,-0.00012494809925556183
12,descend,grasp the blue cylinder,blue,329.06159991398454,"[0.0003526456236620304, 0.0006181287278042306, -0.009409430516682854, 0.0, 0.0, 0.0, 0.0]","[0.0007353127002716064, 0.0011327564716339111, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.08490689098834991, 0.16097986698150635, 0.05952152982354164]","[0.08564220368862152, 0.16211262345314026, 0.02199999988079071]",0.001350489561446011,True,"[0.0007353127002716064, 0.0011327564716339111, -0.008]",0.0,0.00997148361057043,-3.142561763525009e-05
