step,stage,instruction,target_color,latency_ms,raw_action7,assisted_action7,ee_pose_before,goal_xyz,target_xy_dist,exec_success,final_delta_xyz,gripper_cmd,target_object_z,target_object_lift
0,approach,grasp the blue cylinder,blue,512.790400069207,"[-0.0005462467196744331, 0.0036506439885695234, -0.001040667194014808, 0.0, 0.0, 0.0, 0.0]","[2.238804484022694e-07, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[-2.238804484022694e-07, 0.14728718996047974, 0.09420847147703171]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.022712811827659607,True,"[2.238804484022694e-07, 0.008, -0.008]",0.0,0.009977083653211594,5.587935447692871e-09
1,approach,grasp the blue cylinder,blue,368.3617999777198,"[-0.0005462467196744331, 0.004482140108456781, 0.0026146547170356003, 0.0, 0.0, 0.0, 0.0]","[-5.82501343160402e-07, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[5.82501343160402e-07, 0.15212683379650116, 0.09002823382616043]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.017873167991638184,True,"[-5.82501343160402e-07, 0.008, -0.008]",0.0,0.009977083653211594,5.587935447692871e-09
2,approach,grasp the blue cylinder,blue,307.5722998473793,"[-0.0005462467196744331, 0.004482140108456781, -0.004215025695716482, 0.0, 0.0, 0.0, 0.0]","[-7.390722771560831e-07, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[7.390722771560831e-07, 0.15720555186271667, 0.08502641320228577]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.012794449925422668,True,"[-7.390722771560831e-07, 0.008, -0.008]",0.0,0.009977083653211594,5.587935447692871e-09
3,descend,grasp the blue cylinder,blue,375.9884999599308,"[-0.0005462467196744331, 0.004482140108456781, -0.004215025695716482, 0.0, 0.0, 0.0, 0.0]","[-7.185005870269379e-07, 0.0077403634786605835, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[7.185005870269379e-07, 0.16225963830947876, 0.08004479855298996]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.0077403634786605835,True,"[-7.185005870269379e-07, 0.0077403634786605835, -0.008]",0.0,0.009977083653211594,5.587935447692871e-09
4,descend,grasp the blue cylinder,blue,437.38979985937476,"[-6.911313672555014e-06, -0.0012894211942900667, -0.004407411059455978, 0.0, 0.0, 0.0, 0.0]","[-6.930895324330777e-07, 0.0028564482927322388, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[6.930895324330777e-07, 0.1671435534954071, 0.07499038428068161]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.0028564485255628824,True,"[-6.930895324330777e-07, 0.0028564482927322388, -0.008]",0.0,0.009977083653211594,5.587935447692871e-09
5,descend,grasp the blue cylinder,blue,369.5265999995172,"[-6.911313672555014e-06, -0.0012894211942900667, -0.006716035424329921, 0.0, 0.0, 0.0, 0.0]","[-4.374928437300696e-07, 0.0010162591934204102, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[4.374928437300696e-07, 0.16898374259471893, 0.06975193321704865]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.001016259309835732,True,"[-4.374928437300696e-07, 0.0010162591934204102, -0.008]",0.0,0.009977083653211594,5.587935447692871e-09
6,descend,grasp the blue cylinder,blue,372.19220004044473,"[-6.911313672555014e-06, -0.0012894211942900667, -0.005273145196283706, 0.0, 0.0, 0.0, 0.0]","[-3.0391962013709417e-07, 0.00037860870361328125, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[3.0391962013709417e-07, 0.16962139308452606, 0.06449829041957855]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.0003786088200286031,True,"[-3.0391962013709417e-07, 0.00037860870361328125, -0.008]",0.0,0.009977083653211594,5.587935447692871e-09
7,descend,grasp the blue cylinder,blue,738.0801001563668,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-2.5047054919014045e-07, 0.00015835464000701904, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[2.5047054919014045e-07, 0.16984164714813232, 0.05923987925052643]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.000158354829181917,True,"[-2.5047054919014045e-07, 0.00015835464000701904, -0.008]",0.0,0.009977083653211594,5.587935447692871e-09
8,descend,grasp the blue cylinder,blue,1322.650499874726,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-2.241100531819029e-07, 7.921457290649414e-05, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[2.241100531819029e-07, 0.16992078721523285, 0.05398042872548103]","[0.0, 0.17000000178813934, 0.02199999988079071]",7.921489304862916e-05,True,"[-2.241100531819029e-07, 7.921457290649414e-05, -0.008]",0.0,0.009977083653211594,5.587935447692871e-09
9,descend,grasp the blue cylinder,blue,328.6701000761241,"[0.0001728671549947377, 0.0005692171913402745, -0.0008482818302753149, 0.0, 0.0, 0.0, 0.0]","[-2.0532640121473378e-07, 5.953013896942139e-05, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[2.0532640121473378e-07, 0.16994047164916992, 0.048714764416217804]","[0.0, 0.17000000178813934, 0.02199999988079071]",5.9530491853365675e-05,True,"[-2.0532640121473378e-07, 5.953013896942139e-05, -0.008]",0.0,0.009977083653211594,5.587935447692871e-09
