step,stage,instruction,target_color,latency_ms,raw_action7,assisted_action7,ee_pose_before,goal_xyz,target_xy_dist,exec_success,final_delta_xyz,gripper_cmd,target_object_z,target_object_lift
0,approach,grasp the red cylinder,red,387.20829994417727,"[-0.0014451390630108932, 0.011134109067554843, -0.0016178232852332962, 0.0, 0.0, 0.0, 0.0]","[0.00800000037997961, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[-2.238804484022694e-07, 0.14728718996047974, 0.09420847147703171]","[0.055137138813734055, 0.16675621271133423, 0.06499999761581421]",0.05847368389368057,True,"[0.008, 0.008, -0.008]",0.0,0.009977083653211594,0.0
1,approach,grasp the red cylinder,red,376.3442998751998,"[-0.0055800438423586176, 0.0021832978946508333, -0.001040667194014808, 0.0, 0.0, 0.0, 0.0]","[0.00800000037997961, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.0075302221812307835, 0.1520569920539856, 0.09004657715559006]","[0.055137138813734055, 0.16675621271133423, 0.06499999761581421]",0.0498245470225811,True,"[0.008, 0.008, -0.008]",0.0,0.009977083653211594,0.0
2,approach,grasp the red cylinder,red,361.6446000523865,"[-0.0004563574853407859, 0.011134109067554843, -0.002291172058321529, 0.0, 0.0, 0.0, 0.0]","[0.00800000037997961, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.014952974393963814, 0.15695059299468994, 0.0850636214017868]","[0.055137138813734055, 0.16675621271133423, 0.06499999761581421]",0.04136323556303978,True,"[0.008, 0.008, -0.008]",0.0,0.009977083653211594,0.0
3,approach,grasp the red cylinder,red,306.30040005780756,"[0.0004425348579956776, 0.002770236332218309, 0.0005946083977709012, 0.0, 0.0, 0.0, 0.0]","[0.00800000037997961, 0.005036577582359314, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.02224631980061531, 0.16171963512897491, 0.08010172843933105]","[0.055137138813734055, 0.16675621271133423, 0.06499999761581421]",0.03327421098947525,True,"[0.008, 0.005036577582359314, -0.008]",0.0,0.009977083653211594,0.0
4,approach,grasp the red cylinder,red,336.53480000793934,"[0.0004425348579956776, 0.002770236332218309, 0.0005946083977709012, 0.0, 0.0, 0.0, 0.0]","[0.00800000037997961, 0.0021610110998153687, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.029593585059046745, 0.16459520161151886, 0.07498830556869507]","[0.055137138813734055, 0.16675621271133423, 0.06499999761581421]",0.025634802877902985,True,"[0.008, 0.0021610110998153687, -0.008]",0.0,0.009977083653211594,0.0
5,approach,grasp the red cylinder,red,276.1301000136882,"[0.0003526456236620304, 0.002036563285258964, 0.00040222303403140633, 0.0, 0.0, 0.0, 0.0]","[0.00800000037997961, 0.0012397170066833496, -0.00479627400636673, 0.0, 0.0, 0.0, 0.0]","[0.03703910857439041, 0.16551649570465088, 0.06979627162218094]","[0.055137138813734055, 0.16675621271133423, 0.06499999761581421]",0.018140440806746483,True,"[0.008, 0.0012397170066833496, -0.00479627400636673]",0.0,0.009977083653211594,0.0
6,approach,grasp the red cylinder,red,281.5614999271929,"[0.0003526456236620304, 0.002036563285258964, 0.00040222303403140633, 0.0, 0.0, 0.0, 0.0]","[0.00800000037997961, 0.001093164086341858, -0.0014670565724372864, 0.0, 0.0, 0.0, 0.0]","[0.0444503054022789, 0.16566304862499237, 0.0664670541882515]","[0.055137138813734055, 0.16675621271133423, 0.06499999761581421]",0.010742598213255405,True,"[0.008, 0.001093164086341858, -0.0014670565724372864]",0.0,0.009977083653211594,0.0
7,descend,grasp the red cylinder,red,305.31289987266064,"[0.0003526456236620304, 0.001449624847691488, -0.01450764265577948, 0.0, 0.0, 0.0, 0.0]","[0.0033372007310390472, 0.0011651217937469482, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.05179993808269501, 0.16559109091758728, 0.06522281467914581]","[0.055137138813734055, 0.16675621271133423, 0.02199999988079071]",0.003534744493663311,True,"[0.0033372007310390472, 0.0011651217937469482, -0.008]",0.0,0.009977083653211594,0.0
8,descend,grasp the red cylinder,red,282.34899998642504,"[0.0003526456236620304, 0.001449624847691488, -0.01450764265577948, 0.0, 0.0, 0.0, 0.0]","[0.0003191642463207245, 0.0006874203681945801, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.05481797456741333, 0.16606879234313965, 0.060190603137016296]","[0.055137138813734055, 0.16675621271133423, 0.02199999988079071]",0.0007579001248814166,True,"[0.0003191642463207245, 0.0006874203681945801, -0.008]",0.0,0.009977083653211594,0.0
9,descend,grasp the red cylinder,red,295.03890010528266,"[0.0003526456236620304, 0.001449624847691488, -0.01450764265577948, 0.0, 0.0, 0.0, 0.0]","[9.979680180549622e-05, 0.00029468536376953125, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.05503734201192856, 0.1664615273475647, 0.05488458648324013]","[0.055137138813734055, 0.16675621271133423, 0.02199999988079071]",0.00031112515716813505,True,"[9.979680180549622e-05, 0.00029468536376953125, -0.008]",0.0,0.009977083653211594,0.0
10,descend,grasp the red cylinder,red,263.87480017729104,"[0.0003526456236620304, 0.001449624847691488, -0.01450764265577948, 0.0, 0.0, 0.0, 0.0]","[4.928186535835266e-05, 0.00014951825141906738, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.0550878569483757, 0.16660669445991516, 0.049590952694416046]","[0.055137138813734055, 0.16675621271133423, 0.02199999988079071]",0.00015743065159767866,True,"[4.928186535835266e-05, 0.00014951825141906738, -0.008]",0.0,0.009977083653211594,0.0
11,descend,grasp the red cylinder,red,273.10119988396764,"[0.0003526456236620304, 0.001449624847691488, -0.01450764265577948, 0.0, 0.0, 0.0, 0.0]","[3.458932042121887e-05, 0.00010523200035095215, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.055102549493312836, 0.16665098071098328, 0.04429193586111069]","[0.055137138813734055, 0.16675621271133423, 0.02199999988079071]",0.00011077091039624065,True,"[3.458932042121887e-05, 0.00010523200035095215, -0.008]",0.0,0.009977083653211594,0.0
12,descend,grasp the red cylinder,red,323.9263000432402,"[0.0003526456236620304, 0.001449624847691488, 0.008482408311090208, 0.0, 0.0, 0.0, 0.0]","[3.263354301452637e-05, 9.925663471221924e-05, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.05510450527071953, 0.166656956076622, 0.038989998400211334]","[0.055137138813734055, 0.16675621271133423, 0.02199999988079071]",0.0001044836244545877,True,"[3.263354301452637e-05, 9.925663471221924e-05, -0.008]",0.0,0.009977083653211594,0.0
13,descend,grasp the red cylinder,red,283.22430001571774,"[0.0003526456236620304, 0.001449624847691488, 0.0003060303521616563, 0.0, 0.0, 0.0, 0.0]","[3.6794692277908325e-05, 0.00011178851127624512, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.055100344121456146, 0.16664442420005798, 0.033680498600006104]","[0.055137138813734055, 0.16675621271133423, 0.02199999988079071]",0.00011768823605962098,True,"[3.6794692277908325e-05, 0.00011178851127624512, -0.008]",0.0,0.009977083653211594,0.0
14,descend,grasp the red cylinder,red,297.5161001086235,"[-9.68005480062005e-05, -0.00040901353793885303, -0.0016178232852332962, 0.0, 0.0, 0.0, 0.996078431372549]","[4.392489790916443e-05, 0.00013330578804016113, -0.006366247311234474, 0.0, 0.0, 0.0, 0.0]","[0.05509321391582489, 0.16662290692329407, 0.028366247192025185]","[0.055137138813734055, 0.16675621271133423, 0.02199999988079071]",0.00014035607455298305,True,"[4.392489790916443e-05, 0.00013330578804016113, -0.006366247311234474]",0.0,0.009977083653211594,0.0
15,close,grasp the red cylinder,red,312.24050000309944,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.996078431372549]","[6.458908319473267e-05, 0.00019566714763641357, -0.0020188484340906143, 0.0, 0.0, 0.0, 1.0]","[0.05507254973053932, 0.16656054556369781, 0.024018848314881325]","[0.055137138813734055, 0.16675621271133423, 0.02199999988079071]",0.00020605188910849392,True,"[6.458908319473267e-05, 0.00019566714763641357, -0.0020188484340906143]",1.0,0.009965598583221436,-1.1485069990158081e-05
16,close,grasp the red cylinder,red,282.39479986950755,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.996078431372549]","[-0.0003054477274417877, -4.607439041137695e-05, -0.0007554423063993454, 0.0, 0.0, 0.0, 1.0]","[0.05544258654117584, 0.1668022871017456, 0.022755442187190056]","[0.055137138813734055, 0.16675621271133423, 0.02199999988079071]",0.00030890313792042434,True,"[-0.0003054477274417877, -4.607439041137695e-05, -0.0007554423063993454]",1.0,0.010006687603890896,2.9603950679302216e-05
17,close,grasp the red cylinder,red,259.4273998402059,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.996078431372549]","[-0.0003858134150505066, -0.000313684344291687, -0.0003804638981819153, 0.0, 0.0, 0.0, 1.0]","[0.05552295222878456, 0.16706989705562592, 0.022380463778972626]","[0.055137138813734055, 0.16675621271133423, 0.02199999988079071]",0.0004972422611899674,True,"[-0.0003858134150505066, -0.000313684344291687, -0.0003804638981819153]",1.0,0.010036962106823921,5.9878453612327576e-05
18,close,grasp the red cylinder,red,299.9084999319166,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.996078431372549]","[-0.00042442604899406433, -0.0004435330629348755, -0.0002476312220096588, 0.0, 0.0, 0.0, 1.0]","[0.05556156486272812, 0.1671997457742691, 0.02224763110280037]","[0.055137138813734055, 0.16675621271133423, 0.02199999988079071]",0.0006138884928077459,True,"[-0.00042442604899406433, -0.0004435330629348755, -0.0002476312220096588]",1.0,0.010048327036201954,7.124338299036026e-05
19,close,grasp the red cylinder,red,301.97389982640743,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.996078431372549]","[-0.0004419945180416107, -0.0005025118589401245, -0.00019893236458301544, 0.0, 0.0, 0.0, 1.0]","[0.055579133331775665, 0.16725872457027435, 0.022198932245373726]","[0.055137138813734055, 0.16675621271133423, 0.02199999988079071]",0.0006692363531328738,True,"[-0.0004419945180416107, -0.0005025118589401245, -0.00019893236458301544]",1.0,0.010053054429590702,7.597077637910843e-05
20,close,grasp the red cylinder,red,273.0551001150161,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.996078431372549]","[-0.00045014917850494385, -0.0005297660827636719, -0.00018127821385860443, 0.0, 0.0, 0.0, 1.0]","[0.055587287992239, 0.1672859787940979, 0.022181278094649315]","[0.055137138813734055, 0.16675621271133423, 0.02199999988079071]",0.0006951880059204996,True,"[-0.00045014917850494385, -0.0005297660827636719, -0.00018127821385860443]",1.0,0.010054421611130238,7.733795791864395e-05
21,lift,grasp the red cylinder,red,341.010200092569,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.996078431372549]","[-0.00045368820428848267, -0.0005416572093963623, 0.00800000037997961, 0.0, 0.0, 0.0, 1.0]","[0.05559082701802254, 0.1672978699207306, 0.022174715995788574]","[0.055137138813734055, 0.16675621271133423, 0.08500000089406967]",0.0007065589306876063,True,"[-0.00045368820428848267, -0.0005416572093963623, 0.008]",1.0,0.013060818426311016,0.0030837347730994225
22,lift,grasp the red cylinder,red,294.2157001234591,"[-9.68005480062005e-05, -0.00040901353793885303, -0.002387364740191276, 0.0, 0.0, 0.0, 0.996078431372549]","[4.426389932632446e-05, 0.00016060471534729004, 0.00800000037997961, 0.0, 0.0, 0.0, 1.0]","[0.05509287491440773, 0.16659560799598694, 0.026541024446487427]","[0.055137138813734055, 0.16675621271133423, 0.08500000089406967]",0.00016659281391184777,True,"[4.426389932632446e-05, 0.00016060471534729004, 0.008]",1.0,0.01723138429224491,0.0072543006390333176
23,lift,grasp the red cylinder,red,306.1575999017805,"[-9.68005480062005e-05, -0.00040901353793885303, -0.002387364740191276, 0.0, 0.0, 0.0, 0.996078431372549]","[0.0001276545226573944, 0.000386163592338562, 0.00800000037997961, 0.0, 0.0, 0.0, 1.0]","[0.05500948429107666, 0.16637004911899567, 0.031161697581410408]","[0.055137138813734055, 0.16675621271133423, 0.08500000089406967]",0.00040671610622666776,True,"[0.0001276545226573944, 0.000386163592338562, 0.008]",1.0,0.021661426872015,0.011684343218803406
24,lift,grasp the red cylinder,red,268.74560001306236,"[-9.68005480062005e-05, -0.00040901353793885303, -0.002387364740191276, 0.0, 0.0, 0.0, 0.996078431372549]","[0.00014807656407356262, 0.00044721364974975586, 0.00800000037997961, 0.0, 0.0, 0.0, 1.0]","[0.05498906224966049, 0.16630899906158447, 0.03576517477631569]","[0.055137138813734055, 0.16675621271133423, 0.08500000089406967]",0.00047109098522923887,True,"[0.00014807656407356262, 0.00044721364974975586, 0.008]",1.0,0.026189452037215233,0.01621236838400364
