step,stage,instruction,target_color,latency_ms,raw_action7,assisted_action7,ee_pose_before,goal_xyz,target_xy_dist,exec_success,final_delta_xyz,gripper_cmd,target_object_z,target_object_lift
0,approach,grasp the red cylinder,red,319.50849993154407,"[-0.00018668978233984598, 0.005117990082488213, -0.002291172058321529, 0.0, 0.0, 0.0, 0.0]","[2.238804484022694e-07, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[-2.238804484022694e-07, 0.14728718996047974, 0.09420847147703171]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.022712811827659607,True,"[2.238804484022694e-07, 0.008, -0.008]",0.0,0.009977083653211594,0.0
1,approach,grasp the red cylinder,red,314.04259987175465,"[-0.0005462467196744331, 0.004433228571992825, -0.001040667194014808, 0.0, 0.0, 0.0, 0.0]","[-5.82501343160402e-07, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[5.82501343160402e-07, 0.15212683379650116, 0.09002823382616043]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.017873167991638184,True,"[-5.82501343160402e-07, 0.008, -0.008]",0.0,0.009977083653211594,0.0
2,approach,grasp the red cylinder,red,269.6947001386434,"[-0.0005462467196744331, 0.004482140108456781, -0.0011368598758845563, 0.0, 0.0, 0.0, 0.0]","[-7.390722771560831e-07, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[7.390722771560831e-07, 0.15720555186271667, 0.08502641320228577]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.012794449925422668,True,"[-7.390722771560831e-07, 0.008, -0.008]",0.0,0.009977083653211594,0.0
3,descend,grasp the red cylinder,red,279.1987999808043,"[-0.00027657901667349494, 0.002525678649898528, -0.01450764265577948, 0.0, 0.0, 0.0, 0.0]","[-7.185005870269379e-07, 0.0077403634786605835, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[7.185005870269379e-07, 0.16225963830947876, 0.08004479855298996]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.0077403634786605835,True,"[-7.185005870269379e-07, 0.0077403634786605835, -0.008]",0.0,0.009977083653211594,0.0
4,descend,grasp the red cylinder,red,280.5834000464529,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-6.930895324330777e-07, 0.0028564482927322388, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[6.930895324330777e-07, 0.1671435534954071, 0.07499038428068161]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.0028564485255628824,True,"[-6.930895324330777e-07, 0.0028564482927322388, -0.008]",0.0,0.009977083653211594,0.0
5,descend,grasp the red cylinder,red,313.1846999749541,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-4.374928437300696e-07, 0.0010162591934204102, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[4.374928437300696e-07, 0.16898374259471893, 0.06975193321704865]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.001016259309835732,True,"[-4.374928437300696e-07, 0.0010162591934204102, -0.008]",0.0,0.009977083653211594,0.0
6,descend,grasp the red cylinder,red,286.5865998901427,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-3.0391962013709417e-07, 0.00037860870361328125, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[3.0391962013709417e-07, 0.16962139308452606, 0.06449829041957855]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.0003786088200286031,True,"[-3.0391962013709417e-07, 0.00037860870361328125, -0.008]",0.0,0.009977083653211594,0.0
7,descend,grasp the red cylinder,red,352.88650006987154,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-2.5047054919014045e-07, 0.00015835464000701904, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[2.5047054919014045e-07, 0.16984164714813232, 0.05923987925052643]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.000158354829181917,True,"[-2.5047054919014045e-07, 0.00015835464000701904, -0.008]",0.0,0.009977083653211594,0.0
8,descend,grasp the red cylinder,red,296.02860007435083,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-2.241100531819029e-07, 7.921457290649414e-05, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[2.241100531819029e-07, 0.16992078721523285, 0.05398042872548103]","[0.0, 0.17000000178813934, 0.02199999988079071]",7.921489304862916e-05,True,"[-2.241100531819029e-07, 7.921457290649414e-05, -0.008]",0.0,0.009977083653211594,0.0
9,descend,grasp the red cylinder,red,285.3563998360187,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-2.0532640121473378e-07, 5.953013896942139e-05, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[2.0532640121473378e-07, 0.16994047164916992, 0.048714764416217804]","[0.0, 0.17000000178813934, 0.02199999988079071]",5.9530491853365675e-05,True,"[-2.0532640121473378e-07, 5.953013896942139e-05, -0.008]",0.0,0.009977083653211594,0.0
