step,task,stage,instruction,target_color,object_shape,request_sent,server_request_count,latency_ms,motion_elapsed_ms,step_total_ms,raw_action7,assisted_action7,ee_pose_before,goal_xyz,target_xy_dist,exec_success,final_delta_xyz,gripper_cmd,target_object_z,target_object_lift,target_object_move_xy,target_object_move_y
0,lift,approach,lift the blue cube,blue,cube,1,1,333.988499827683,341.2081999704242,711.2934000324458,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[2.238804484022694e-07, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[-2.238804484022694e-07, 0.14728718996047974, 0.09420847147703171]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.022712811827659607,True,"[2.238804484022694e-07, 0.008, -0.008]",0.0,0.009982808493077755,0.0,1.525620530288558e-17,0.0
1,lift,approach,lift the blue cube,blue,cube,0,1,0.0,341.67959983460605,377.7688997797668,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[1.3630406670017692e-07, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[-1.3630406670017692e-07, 0.15073050558567047, 0.09157862514257431]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.019269496202468872,True,"[1.3630406670017692e-07, 0.008, -0.008]",0.0,0.009982808493077755,0.0,2.4181736195624423e-16,0.0
2,lift,approach,lift the blue cube,blue,cube,0,1,0.0,344.2966998554766,394.84249986708164,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-7.581497811770532e-07, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[7.581497811770532e-07, 0.15456488728523254, 0.08788476884365082]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.0154351145029068,True,"[-7.581497811770532e-07, 0.008, -0.008]",0.0,0.009982808493077755,0.0,4.113834318292045e-16,0.0
3,lift,approach,lift the blue cube,blue,cube,1,2,474.7456000186503,322.20269995741546,837.7002000343055,"[-9.68005480062005e-05, 0.004286493962600955, 0.0008831864433801427, 0.0, 0.0, 0.0, 0.0]","[-7.713125569352997e-07, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[7.713125569352997e-07, 0.15837040543556213, 0.08424147963523865]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.01162959635257721,True,"[-7.713125569352997e-07, 0.008, -0.008]",0.0,0.009982808493077755,0.0,6.979774001096115e-16,0.0
4,lift,descend,lift the blue cube,blue,cube,0,2,0.0,335.15649987384677,387.3878999147564,"[-9.68005480062005e-05, 0.004286493962600955, 0.0008831864433801427, 0.0, 0.0, 0.0, 0.0]","[-7.716874961261055e-07, 0.007831007242202759, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[7.716874961261055e-07, 0.16216899454593658, 0.08055223524570465]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.007831007242202759,True,"[-7.716874961261055e-07, 0.007831007242202759, -0.008]",0.0,0.009982808493077755,0.0,1.0033977344339293e-15,0.0
5,lift,descend,lift the blue cube,blue,cube,0,2,0.0,325.10400004684925,367.19619994983077,"[-9.68005480062005e-05, 0.004286493962600955, 0.0008831864433801427, 0.0, 0.0, 0.0, 0.0]","[-7.613469392708794e-07, 0.004116535186767578, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[7.613469392708794e-07, 0.16588346660137177, 0.07682564854621887]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.004116535186767578,True,"[-7.613469392708794e-07, 0.004116535186767578, -0.008]",0.0,0.009982808493077755,0.0,1.3256711127328515e-15,0.0
6,lift,descend,lift the blue cube,blue,cube,1,3,283.10519992373884,321.31439982913435,640.119600109756,"[0.0001728671549947377, 0.0050201670095603, -0.005754108605632444, 0.0, 0.0, 0.0, 0.0]","[-6.71476243496727e-07, 0.002104818820953369, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[6.71476243496727e-07, 0.16789518296718597, 0.07296542078256607]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.002104819053784013,True,"[-6.71476243496727e-07, 0.002104818820953369, -0.008]",0.0,0.009982808493077755,0.0,1.5931778817611525e-15,0.0
7,lift,descend,lift the blue cube,blue,cube,0,3,0.0,331.0082000680268,383.0277998931706,"[0.0001728671549947377, 0.0050201670095603, -0.005754108605632444, 0.0, 0.0, 0.0, 0.0]","[-4.881041490989446e-07, 0.0010747909545898438, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[4.881041490989446e-07, 0.1689252108335495, 0.06907370686531067]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.0010747910710051656,True,"[-4.881041490989446e-07, 0.0010747909545898438, -0.008]",0.0,0.009982808493077755,0.0,1.6175518900931054e-15,0.0
8,lift,descend,lift the blue cube,blue,cube,0,3,0.0,314.51579998247325,354.7577001154423,"[0.0001728671549947377, 0.0050201670095603, -0.005754108605632444, 0.0, 0.0, 0.0, 0.0]","[-3.791963081312133e-07, 0.0005427449941635132, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[3.791963081312133e-07, 0.16945725679397583, 0.06516490876674652]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.000542745110578835,True,"[-3.791963081312133e-07, 0.0005427449941635132, -0.008]",0.0,0.009982808493077755,0.0,1.660383911016032e-15,0.0
9,lift,descend,lift the blue cube,blue,cube,1,4,276.669800048694,333.513000048697,649.9263001605868,"[-0.00018668978233984598, -0.0012894211942900667, -0.004888374468804716, 0.0, 0.0, 0.0, 0.0]","[-3.193997031303297e-07, 0.00027017295360565186, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[3.193997031303297e-07, 0.1697298288345337, 0.06124864146113396]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.0002701731282286346,True,"[-3.193997031303297e-07, 0.00027017295360565186, -0.008]",0.0,0.009982808493077755,0.0,1.6514269611152914e-15,0.0
10,lift,descend,lift the blue cube,blue,cube,0,4,0.0,333.71759997680783,381.0200998559594,"[-0.00018668978233984598, -0.0012894211942900667, -0.004888374468804716, 0.0, 0.0, 0.0, 0.0]","[-2.845872302259522e-07, 0.0001318603754043579, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[2.845872302259522e-07, 0.16986814141273499, 0.05732918903231621]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.0001318606809945777,True,"[-2.845872302259522e-07, 0.0001318603754043579, -0.008]",0.0,0.009982808493077755,0.0,1.6700928144156976e-15,0.0
11,lift,descend,lift the blue cube,blue,cube,0,4,0.0,326.31330005824566,366.9469999149442,"[-0.00018668978233984598, -0.0012894211942900667, -0.004888374468804716, 0.0, 0.0, 0.0, 0.0]","[-2.6211836257061805e-07, 6.341934204101562e-05, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[2.6211836257061805e-07, 0.16993658244609833, 0.053408101201057434]","[0.0, 0.17000000178813934, 0.02199999988079071]",6.341988773783669e-05,True,"[-2.6211836257061805e-07, 6.341934204101562e-05, -0.008]",0.0,0.009982808493077755,0.0,1.6968632907136698e-15,0.0
12,lift,descend,lift the blue cube,blue,cube,1,5,284.2733000870794,326.00539992563426,644.2218997981399,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-2.452916021411511e-07, 3.591179847717285e-05, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[2.452916021411511e-07, 0.16996408998966217, 0.049485113471746445]","[0.0, 0.17000000178813934, 0.02199999988079071]",3.591263521229848e-05,True,"[-2.452916021411511e-07, 3.591179847717285e-05, -0.008]",0.0,0.009982808493077755,0.0,1.7139000878982691e-15,0.0
13,lift,descend,lift the blue cube,blue,cube,0,5,0.0,328.9415999315679,374.1970001719892,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-2.310646749492662e-07, 2.2813677787780762e-05, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[2.310646749492662e-07, 0.16997718811035156, 0.04556487873196602]","[0.0, 0.17000000178813934, 0.02199999988079071]",2.2814847397967242e-05,True,"[-2.310646749492662e-07, 2.2813677787780762e-05, -0.008]",0.0,0.009982808493077755,0.0,1.7170282864515977e-15,0.0
14,lift,descend,lift the blue cube,blue,cube,0,5,0.0,333.8468000292778,377.4958001449704,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-2.1828114427080436e-07, 2.2545456886291504e-05, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[2.1828114427080436e-07, 0.16997745633125305, 0.041640207171440125]","[0.0, 0.17000000178813934, 0.02199999988079071]",2.2546513719134964e-05,True,"[-2.1828114427080436e-07, 2.2545456886291504e-05, -0.008]",0.0,0.009982808493077755,0.0,1.7128646959993692e-15,0.0
