step,task,stage,instruction,target_color,object_shape,request_sent,server_request_count,latency_ms,motion_elapsed_ms,step_total_ms,raw_action7,assisted_action7,ee_pose_before,goal_xyz,target_xy_dist,exec_success,final_delta_xyz,gripper_cmd,target_object_z,target_object_lift,target_object_move_xy,target_object_move_y
0,lift,approach,lift the blue cube,blue,cube,1,1,414.5458999555558,373.4512000810355,830.5996998678893,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[2.238804484022694e-07, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[-2.238804484022694e-07, 0.14728718996047974, 0.09420847147703171]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.022712811827659607,True,"[2.238804484022694e-07, 0.008, -0.008]",0.0,0.009982808493077755,0.0,1.525620530288558e-17,0.0
1,lift,approach,lift the blue cube,blue,cube,1,2,297.6537998765707,1602.8089001774788,1942.5410002004355,"[-9.68005480062005e-05, 0.004286493962600955, 0.0008831864433801427, 0.0, 0.0, 0.0, 0.0]","[1.3630406670017692e-07, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[-1.3630406670017692e-07, 0.15073050558567047, 0.09157862514257431]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.019269496202468872,True,"[1.3630406670017692e-07, 0.008, -0.008]",0.0,0.009982808493077755,0.0,2.4181736195624423e-16,0.0
2,lift,approach,lift the blue cube,blue,cube,1,3,267.30459998361766,344.313699984923,651.3793999329209,"[-0.00018668978233984598, 0.003503909379177654, 0.0003060303521616563, 0.0, 0.0, 0.0, 0.0]","[-7.581497811770532e-07, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[7.581497811770532e-07, 0.15456488728523254, 0.08788476884365082]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.0154351145029068,True,"[-7.581497811770532e-07, 0.008, -0.008]",0.0,0.009982808493077755,0.0,4.113834318292045e-16,0.0
3,lift,approach,lift the blue cube,blue,cube,1,4,285.9114999882877,325.3339999355376,650.726499967277,"[-9.68005480062005e-05, 0.004286493962600955, 0.0008831864433801427, 0.0, 0.0, 0.0, 0.0]","[-7.713125569352997e-07, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[7.713125569352997e-07, 0.15837040543556213, 0.08424147963523865]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.01162959635257721,True,"[-7.713125569352997e-07, 0.008, -0.008]",0.0,0.009982808493077755,0.0,6.979774001096115e-16,0.0
4,lift,descend,lift the blue cube,blue,cube,1,5,270.58680006302893,334.0227999724448,637.570499908179,"[0.0001728671549947377, 0.0050201670095603, -0.0035416769226282504, 0.0, 0.0, 0.0, 0.0]","[-7.716874961261055e-07, 0.007831007242202759, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[7.716874961261055e-07, 0.16216899454593658, 0.08055223524570465]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.007831007242202759,True,"[-7.716874961261055e-07, 0.007831007242202759, -0.008]",0.0,0.009982808493077755,0.0,1.0033977344339293e-15,0.0
5,lift,descend,lift the blue cube,blue,cube,1,6,304.2504000477493,326.5866001602262,672.9815001599491,"[-0.0005462467196744331, 0.005313636228344039, 0.0010755718071196376, 0.0, 0.0, 0.0, 0.0]","[-7.613469392708794e-07, 0.004116535186767578, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[7.613469392708794e-07, 0.16588346660137177, 0.07682564854621887]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.004116535186767578,True,"[-7.613469392708794e-07, 0.004116535186767578, -0.008]",0.0,0.009982808493077755,0.0,1.3256711127328515e-15,0.0
6,lift,descend,lift the blue cube,blue,cube,1,7,264.86909994855523,332.2503000963479,635.8386001084,"[0.0001728671549947377, 0.0050201670095603, -0.005754108605632444, 0.0, 0.0, 0.0, 0.0]","[-6.71476243496727e-07, 0.002104818820953369, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[6.71476243496727e-07, 0.16789518296718597, 0.07296542078256607]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.002104819053784013,True,"[-6.71476243496727e-07, 0.002104818820953369, -0.008]",0.0,0.009982808493077755,0.0,1.5931778817611525e-15,0.0
7,lift,descend,lift the blue cube,blue,cube,1,8,306.17820005863905,322.27809983305633,660.0725001189858,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.0]","[-4.881041490989446e-07, 0.0010747909545898438, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[4.881041490989446e-07, 0.1689252108335495, 0.06907370686531067]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.0010747910710051656,True,"[-4.881041490989446e-07, 0.0010747909545898438, -0.008]",0.0,0.009982808493077755,0.0,1.6175518900931054e-15,0.0
8,lift,descend,lift the blue cube,blue,cube,1,9,330.06679988466203,332.0146999321878,694.1796001046896,"[-0.00027657901667349494, 0.005313636228344039, -0.0012330525577543064, 0.0, 0.0, 0.0, 0.0]","[-3.791963081312133e-07, 0.0005427449941635132, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[3.791963081312133e-07, 0.16945725679397583, 0.06516490876674652]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.000542745110578835,True,"[-3.791963081312133e-07, 0.0005427449941635132, -0.008]",0.0,0.009982808493077755,0.0,1.660383911016032e-15,0.0
9,lift,descend,lift the blue cube,blue,cube,1,10,265.7463999930769,327.88949995301664,633.1648000050336,"[-0.00018668978233984598, -0.0012894211942900667, -0.004888374468804716, 0.0, 0.0, 0.0, 0.0]","[-3.193997031303297e-07, 0.00027017295360565186, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[3.193997031303297e-07, 0.1697298288345337, 0.06124864146113396]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.0002701731282286346,True,"[-3.193997031303297e-07, 0.00027017295360565186, -0.008]",0.0,0.009982808493077755,0.0,1.6514269611152914e-15,0.0
