step,task,stage,instruction,target_color,object_shape,request_sent,server_request_count,latency_ms,motion_elapsed_ms,step_total_ms,raw_action7,assisted_action7,ee_pose_before,goal_xyz,target_xy_dist,exec_success,final_delta_xyz,gripper_cmd,target_object_z,target_object_lift,target_object_move_xy,target_object_move_y
0,lift,approach,lift the green sphere,green,sphere,1,1,403.77620002254844,326.96179999038577,774.4952000211924,"[-0.00027657901667349494, 0.003210440160393916, -0.01450764265577948, 0.0, 0.0, 0.0, 0.0]","[2.238804484022694e-07, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[-2.238804484022694e-07, 0.14728718996047974, 0.09420847147703171]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.022712811827659607,True,"[2.238804484022694e-07, 0.008, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
1,lift,approach,lift the green sphere,green,sphere,0,1,0.0,334.3897999729961,377.9849000275135,"[-0.00027657901667349494, 0.003210440160393916, -0.01450764265577948, 0.0, 0.0, 0.0, 0.0]","[1.3630406670017692e-07, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[-1.3630406670017692e-07, 0.15073050558567047, 0.09157862514257431]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.019269496202468872,True,"[1.3630406670017692e-07, 0.008, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
2,lift,approach,lift the green sphere,green,sphere,0,1,0.0,324.33509989641607,359.6227001398802,"[-0.00027657901667349494, 0.003210440160393916, -0.01450764265577948, 0.0, 0.0, 0.0, 0.0]","[-7.581497811770532e-07, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[7.581497811770532e-07, 0.15456488728523254, 0.08788476884365082]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.0154351145029068,True,"[-7.581497811770532e-07, 0.008, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
3,lift,approach,lift the green sphere,green,sphere,1,2,360.5388000141829,320.0358001049608,719.4758001714945,"[0.0002627563893283832, 0.002036563285258964, 0.0003060303521616563, 0.0, 0.0, 0.0, 0.0]","[-7.713125569352997e-07, 0.00800000037997961, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[7.713125569352997e-07, 0.15837040543556213, 0.08424147963523865]","[0.0, 0.17000000178813934, 0.06499999761581421]",0.01162959635257721,True,"[-7.713125569352997e-07, 0.008, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
4,lift,descend,lift the green sphere,green,sphere,0,2,0.0,331.6208999603987,365.6611000187695,"[0.0002627563893283832, 0.002036563285258964, 0.0003060303521616563, 0.0, 0.0, 0.0, 0.0]","[-7.716874961261055e-07, 0.007831007242202759, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[7.716874961261055e-07, 0.16216899454593658, 0.08055223524570465]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.007831007242202759,True,"[-7.716874961261055e-07, 0.007831007242202759, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
5,lift,descend,lift the green sphere,green,sphere,0,2,0.0,326.18730003014207,369.79119991883636,"[0.0002627563893283832, 0.002036563285258964, 0.0003060303521616563, 0.0, 0.0, 0.0, 0.0]","[-7.613469392708794e-07, 0.004116535186767578, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[7.613469392708794e-07, 0.16588346660137177, 0.07682564854621887]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.004116535186767578,True,"[-7.613469392708794e-07, 0.004116535186767578, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
6,lift,descend,lift the green sphere,green,sphere,1,3,387.4071999453008,325.45489980839193,747.0408000517637,"[0.0002627563893283832, 0.002036563285258964, 0.0003060303521616563, 0.0, 0.0, 0.0, 0.0]","[-6.71476243496727e-07, 0.002104818820953369, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[6.71476243496727e-07, 0.16789518296718597, 0.07296542078256607]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.002104819053784013,True,"[-6.71476243496727e-07, 0.002104818820953369, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
7,lift,descend,lift the green sphere,green,sphere,0,3,0.0,320.7535999827087,370.7421999424696,"[0.0002627563893283832, 0.002036563285258964, 0.0003060303521616563, 0.0, 0.0, 0.0, 0.0]","[-4.881041490989446e-07, 0.0010747909545898438, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[4.881041490989446e-07, 0.1689252108335495, 0.06907370686531067]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.0010747910710051656,True,"[-4.881041490989446e-07, 0.0010747909545898438, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
8,lift,descend,lift the green sphere,green,sphere,0,3,0.0,324.21349990181625,374.6357997879386,"[0.0002627563893283832, 0.002036563285258964, 0.0003060303521616563, 0.0, 0.0, 0.0, 0.0]","[-3.791963081312133e-07, 0.0005427449941635132, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[3.791963081312133e-07, 0.16945725679397583, 0.06516490876674652]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.000542745110578835,True,"[-3.791963081312133e-07, 0.0005427449941635132, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
9,lift,descend,lift the green sphere,green,sphere,1,4,268.91570002771914,319.1172000952065,622.9765000753105,"[0.0001728671549947377, 0.002378944040506659, -0.01450764265577948, 0.0, 0.0, 0.0, 0.0]","[-3.193997031303297e-07, 0.00027017295360565186, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[3.193997031303297e-07, 0.1697298288345337, 0.06124864146113396]","[0.0, 0.17000000178813934, 0.02199999988079071]",0.0002701731282286346,True,"[-3.193997031303297e-07, 0.00027017295360565186, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
