step,task,stage,instruction,target_color,object_shape,request_sent,server_request_count,latency_ms,motion_elapsed_ms,step_total_ms,raw_action7,assisted_action7,ee_pose_before,goal_xyz,target_xy_dist,exec_success,final_delta_xyz,gripper_cmd,target_object_z,target_object_lift,target_object_move_xy,target_object_move_y
0,push,descend,move the green sphere forward,green,sphere,1,1,331.73879981040955,332.67319994047284,715.7626000698656,"[-0.00027657901667349494, 0.002868059405146222, -0.00065589646653582, 0.0, 0.0, 0.0, 0.0]","[2.238804484022694e-07, -0.005287185311317444, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[-2.238804484022694e-07, 0.14728718996047974, 0.09420847147703171]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.005287185311317444,True,"[2.238804484022694e-07, -0.005287185311317444, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
1,push,descend,move the green sphere forward,green,sphere,0,1,0.0,352.1920000202954,384.4395000487566,"[-0.00027657901667349494, 0.002868059405146222, -0.00065589646653582, 0.0, 0.0, 0.0, 0.0]","[2.8366831106296786e-09, -0.0030206888914108276, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[-2.8366831106296786e-09, 0.14502069354057312, 0.09046486765146255]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.0030206888914108276,True,"[2.8366831106296786e-09, -0.0030206888914108276, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
2,push,descend,move the green sphere forward,green,sphere,0,1,0.0,332.1551000699401,371.1310001090169,"[-0.00027657901667349494, 0.002868059405146222, -0.00065589646653582, 0.0, 0.0, 0.0, 0.0]","[-7.601411766700039e-08, -0.0016124695539474487, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[7.601411766700039e-08, 0.14361247420310974, 0.086528480052948]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.0016124695539474487,True,"[-7.601411766700039e-08, -0.0016124695539474487, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
3,push,descend,move the green sphere forward,green,sphere,1,2,353.0405000783503,320.2620998490602,714.2847999930382,"[-0.00027657901667349494, 0.002868059405146222, -0.001040667194014808, 0.0, 0.0, 0.0, 0.0]","[-1.9033178944027895e-07, -0.0008899867534637451, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[1.9033178944027895e-07, 0.14288999140262604, 0.08266499638557434]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.000889986811671406,True,"[-1.9033178944027895e-07, -0.0008899867534637451, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
4,push,descend,move the green sphere forward,green,sphere,0,2,0.0,336.10960002988577,373.03189979866147,"[-0.00027657901667349494, 0.002868059405146222, -0.001040667194014808, 0.0, 0.0, 0.0, 0.0]","[-2.641775154188508e-07, -0.000530049204826355, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[2.641775154188508e-07, 0.14253005385398865, 0.07883379608392715]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.0005300492630340159,True,"[-2.641775154188508e-07, -0.000530049204826355, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
5,push,descend,move the green sphere forward,green,sphere,0,2,0.0,331.62670000456274,362.3335000593215,"[-0.00027657901667349494, 0.002868059405146222, -0.001040667194014808, 0.0, 0.0, 0.0, 0.0]","[-2.9967193881930143e-07, -0.0003535151481628418, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[2.9967193881930143e-07, 0.14235351979732513, 0.07502257823944092]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.0003535152645781636,True,"[-2.9967193881930143e-07, -0.0003535151481628418, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
6,push,descend,move the green sphere forward,green,sphere,1,3,286.8581998627633,323.8903998862952,658.8365999050438,"[-0.00027657901667349494, 0.002868059405146222, -0.001040667194014808, 0.0, 0.0, 0.0, 0.0]","[-3.131533503619721e-07, -0.00027051568031311035, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[3.131533503619721e-07, 0.1422705203294754, 0.07122266292572021]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.0002705158549360931,True,"[-3.131533503619721e-07, -0.00027051568031311035, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
7,push,descend,move the green sphere forward,green,sphere,0,3,0.0,328.80200003273785,358.53719990700483,"[-0.00027657901667349494, 0.002868059405146222, -0.001040667194014808, 0.0, 0.0, 0.0, 0.0]","[-3.1418875323652173e-07, -0.00023421645164489746, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[3.1418875323652173e-07, 0.1422342211008072, 0.06742823868989944]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.00023421665537171066,True,"[-3.1418875323652173e-07, -0.00023421645164489746, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
8,push,descend,move the green sphere forward,green,sphere,0,3,0.0,351.0023998096585,396.98150008916855,"[-0.00027657901667349494, 0.002868059405146222, -0.001040667194014808, 0.0, 0.0, 0.0, 0.0]","[-3.076431482895714e-07, -0.00021725893020629883, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[3.076431482895714e-07, 0.1422172635793686, 0.06363652646541595]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.00021725914848502725,True,"[-3.076431482895714e-07, -0.00021725893020629883, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
9,push,descend,move the green sphere forward,green,sphere,1,4,785.2141000330448,342.89990016259253,1167.5449998583645,"[-0.00027657901667349494, 0.0021832978946508333, -0.00065589646653582, 0.0, 0.0, 0.0, 0.0]","[-2.965785768083151e-07, -0.0002139657735824585, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[2.965785768083151e-07, 0.14221397042274475, 0.05984196811914444]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.0002139659773092717,True,"[-2.965785768083151e-07, -0.0002139657735824585, -0.008]",0.0,0.009931541047990322,0.0,0.0,0.0
