step,task,stage,instruction,target_color,object_shape,request_sent,server_request_count,latency_ms,motion_elapsed_ms,step_total_ms,raw_action7,assisted_action7,ee_pose_before,goal_xyz,target_xy_dist,exec_success,final_delta_xyz,gripper_cmd,target_object_z,target_object_lift,target_object_move_xy,target_object_move_y
0,push,descend,push the red cylinder forward,red,cylinder,1,1,519.7433999273926,335.33710008487105,897.0608999952674,"[-0.0004563574853407859, 0.011134109067554843, -0.0037340622863677436, 0.0, 0.0, 0.0, 0.0]","[2.238804484022694e-07, -0.005287185311317444, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[-2.238804484022694e-07, 0.14728718996047974, 0.09420847147703171]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.005287185311317444,True,"[2.238804484022694e-07, -0.005287185311317444, -0.008]",0.0,0.009977083653211594,0.0,4.792321171407209e-17,0.0
1,push,descend,push the red cylinder forward,red,cylinder,0,1,0.0,337.61829999275506,373.68960003368556,"[-0.0004563574853407859, 0.011134109067554843, -0.0037340622863677436, 0.0, 0.0, 0.0, 0.0]","[2.8366831106296786e-09, -0.0030206888914108276, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[-2.8366831106296786e-09, 0.14502069354057312, 0.09046486765146255]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.0030206888914108276,True,"[2.8366831106296786e-09, -0.0030206888914108276, -0.008]",0.0,0.009977083653211594,0.0,4.745040851082658e-17,0.0
2,push,descend,push the red cylinder forward,red,cylinder,0,1,0.0,330.83779993467033,373.85910004377365,"[-0.0004563574853407859, 0.011134109067554843, -0.0037340622863677436, 0.0, 0.0, 0.0, 0.0]","[-7.601411766700039e-08, -0.0016124695539474487, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[7.601411766700039e-08, 0.14361247420310974, 0.086528480052948]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.0016124695539474487,True,"[-7.601411766700039e-08, -0.0016124695539474487, -0.008]",0.0,0.009977083653211594,0.0,4.8556435016593684e-17,0.0
3,push,descend,push the red cylinder forward,red,cylinder,1,2,311.86449993401766,320.3582998830825,674.3154998403043,"[-0.0055800438423586176, 0.0021832978946508333, -0.001040667194014808, 0.0, 0.0, 0.0, 0.0]","[-1.9033178944027895e-07, -0.0008899867534637451, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[1.9033178944027895e-07, 0.14288999140262604, 0.08266499638557434]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.000889986811671406,True,"[-1.9033178944027895e-07, -0.0008899867534637451, -0.008]",0.0,0.009977083653211594,0.0,4.5743623887219365e-17,0.0
4,push,descend,push the red cylinder forward,red,cylinder,0,2,0.0,336.4767001476139,386.5414001047611,"[-0.0055800438423586176, 0.0021832978946508333, -0.001040667194014808, 0.0, 0.0, 0.0, 0.0]","[-2.641775154188508e-07, -0.000530049204826355, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[2.641775154188508e-07, 0.14253005385398865, 0.07883379608392715]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.0005300492630340159,True,"[-2.641775154188508e-07, -0.000530049204826355, -0.008]",0.0,0.009977083653211594,0.0,4.8702111448631623e-17,0.0
5,push,descend,push the red cylinder forward,red,cylinder,0,2,0.0,331.6788000520319,377.64590000733733,"[-0.0055800438423586176, 0.0021832978946508333, -0.001040667194014808, 0.0, 0.0, 0.0, 0.0]","[-2.9967193881930143e-07, -0.0003535151481628418, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[2.9967193881930143e-07, 0.14235351979732513, 0.07502257823944092]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.0003535152645781636,True,"[-2.9967193881930143e-07, -0.0003535151481628418, -0.008]",0.0,0.009977083653211594,0.0,5.2946977359127147e-17,0.0
6,push,descend,push the red cylinder forward,red,cylinder,1,3,273.5588001087308,324.0041001699865,638.9060998335481,"[-0.0005462467196744331, 0.011134109067554843, -0.0037340622863677436, 0.0, 0.0, 0.0, 0.0]","[-3.131533503619721e-07, -0.00027051568031311035, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[3.131533503619721e-07, 0.1422705203294754, 0.07122266292572021]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.0002705158549360931,True,"[-3.131533503619721e-07, -0.00027051568031311035, -0.008]",0.0,0.009977083653211594,0.0,4.9439797736351314e-17,0.0
7,push,descend,push the red cylinder forward,red,cylinder,0,3,0.0,324.7152999974787,367.61489999480546,"[-0.0005462467196744331, 0.011134109067554843, -0.0037340622863677436, 0.0, 0.0, 0.0, 0.0]","[-3.1418875323652173e-07, -0.00023421645164489746, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[3.1418875323652173e-07, 0.1422342211008072, 0.06742823868989944]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.00023421665537171066,True,"[-3.1418875323652173e-07, -0.00023421645164489746, -0.008]",0.0,0.009977083653211594,0.0,5.919182040698808e-17,0.0
8,push,descend,push the red cylinder forward,red,cylinder,0,3,0.0,320.82729996182024,368.0596000049263,"[-0.0005462467196744331, 0.011134109067554843, -0.0037340622863677436, 0.0, 0.0, 0.0, 0.0]","[-3.076431482895714e-07, -0.00021725893020629883, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[3.076431482895714e-07, 0.1422172635793686, 0.06363652646541595]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.00021725914848502725,True,"[-3.076431482895714e-07, -0.00021725893020629883, -0.008]",0.0,0.009977083653211594,0.0,6.559216017511919e-17,0.0
9,push,descend,push the red cylinder forward,red,cylinder,1,4,287.4545000959188,317.57770013064146,647.3428998142481,"[-6.911313672555014e-06, -1.7721246227202312e-05, -0.002772135467670269, 0.0, 0.0, 0.0, 0.0]","[-2.965785768083151e-07, -0.0002139657735824585, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[2.965785768083151e-07, 0.14221397042274475, 0.05984196811914444]","[0.0, 0.1420000046491623, 0.026000000536441803]",0.0002139659773092717,True,"[-2.965785768083151e-07, -0.0002139657735824585, -0.008]",0.0,0.009977083653211594,0.0,7.622749262595438e-17,0.0
