step,task,stage,instruction,target_color,object_shape,request_sent,server_request_count,latency_ms,motion_elapsed_ms,step_total_ms,raw_action7,assisted_action7,ee_pose_before,goal_xyz,target_xy_dist,exec_success,final_delta_xyz,gripper_cmd,target_object_z,target_object_lift,target_object_move_xy,target_object_move_y
0,push,descend,push the red cylinder forward,red,cylinder,1,1,304.980699904263,426.9873001612723,767.6613999065012,"[-0.0004563574853407859, 0.011134109067554843, -0.0037340622863677436, 0.0, 0.0, 0.0, 0.0]","[2.238804484022694e-07, -0.0022871941328048706, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[-2.238804484022694e-07, 0.14728718996047974, 0.09420847147703171]","[0.0, 0.14499999582767487, 0.02199999988079071]",0.0022871941328048706,True,"[2.238804484022694e-07, -0.0022871941328048706, -0.009999999776482582]",0.0,0.009977083653211594,0.0,9.006653529387685e-18,0.0
1,push,descend,push the red cylinder forward,red,cylinder,0,1,0.0,473.33760000765324,520.0350999366492,"[-0.0004563574853407859, 0.011134109067554843, -0.0037340622863677436, 0.0, 0.0, 0.0, 0.0]","[-1.5681879972362367e-07, -0.0010955184698104858, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[1.5681879972362367e-07, 0.14609551429748535, 0.08882976323366165]","[0.0, 0.14499999582767487, 0.02199999988079071]",0.0010955184698104858,True,"[-1.5681879972362367e-07, -0.0010955184698104858, -0.009999999776482582]",0.0,0.009977083653211594,0.0,2.588783487970868e-17,0.0
2,push,descend,push the red cylinder forward,red,cylinder,0,1,0.0,397.22780021838844,435.84769987501204,"[-0.0004563574853407859, 0.011134109067554843, -0.0037340622863677436, 0.0, 0.0, 0.0, 0.0]","[-3.406460109545151e-07, -0.0005762428045272827, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[3.406460109545151e-07, 0.14557623863220215, 0.08316620439291]","[0.0, 0.14499999582767487, 0.02199999988079071]",0.0005762429209426045,True,"[-3.406460109545151e-07, -0.0005762428045272827, -0.009999999776482582]",0.0,0.009977083653211594,0.0,3.297850649985204e-17,0.0
3,push,descend,push the red cylinder forward,red,cylinder,1,2,278.20159983821213,1020.532599883154,1337.9183998331428,"[-0.0004563574853407859, 0.011134109067554843, -0.0037340622863677436, 0.0, 0.0, 0.0, 0.0]","[-3.828002661521168e-07, -0.00037160515785217285, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[3.828002661521168e-07, 0.14537160098552704, 0.07757814973592758]","[0.0, 0.14499999582767487, 0.02199999988079071]",0.00037160536157898605,True,"[-3.828002661521168e-07, -0.00037160515785217285, -0.009999999776482582]",0.0,0.009977083653211594,0.0,2.244014608658766e-17,0.0
4,push,descend,push the red cylinder forward,red,cylinder,0,2,0.0,393.48720014095306,433.37380001321435,"[-0.0004563574853407859, 0.011134109067554843, -0.0037340622863677436, 0.0, 0.0, 0.0, 0.0]","[-3.9521864891867153e-07, -0.0002954155206680298, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[3.9521864891867153e-07, 0.1452954113483429, 0.07200971245765686]","[0.0, 0.14499999582767487, 0.02199999988079071]",0.0002954157826025039,True,"[-3.9521864891867153e-07, -0.0002954155206680298, -0.009999999776482582]",0.0,0.009977083653211594,0.0,2.2748611663176034e-17,0.0
5,push,descend,push the red cylinder forward,red,cylinder,0,2,0.0,399.18059995397925,436.34709995239973,"[-0.0004563574853407859, 0.011134109067554843, -0.0037340622863677436, 0.0, 0.0, 0.0, 0.0]","[-3.883359624978766e-07, -0.00027626752853393555, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[3.883359624978766e-07, 0.1452762633562088, 0.06645132601261139]","[0.0, 0.14499999582767487, 0.02199999988079071]",0.00027626779046840966,True,"[-3.883359624978766e-07, -0.00027626752853393555, -0.009999999776482582]",0.0,0.009977083653211594,0.0,1.7964873979549166e-17,0.0
6,push,descend,push the red cylinder forward,red,cylinder,1,3,256.25659991055727,398.5486999154091,693.4865000657737,"[-6.911313672555014e-06, -1.7721246227202312e-05, -0.002772135467670269, 0.0, 0.0, 0.0, 0.0]","[-3.703293600665347e-07, -0.0002800971269607544, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[3.703293600665347e-07, 0.14528009295463562, 0.06089457497000694]","[0.0, 0.14499999582767487, 0.02199999988079071]",0.00028009735979139805,True,"[-3.703293600665347e-07, -0.0002800971269607544, -0.009999999776482582]",0.0,0.009977083653211594,0.0,1.7488576765396232e-17,0.0
7,push,descend,push the red cylinder forward,red,cylinder,0,3,0.0,410.32089991495013,452.9332001693547,"[-6.911313672555014e-06, -1.7721246227202312e-05, -0.002772135467670269, 0.0, 0.0, 0.0, 0.0]","[-3.4497008982725674e-07, -0.00028492510318756104, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[3.4497008982725674e-07, 0.14528492093086243, 0.05533381924033165]","[0.0, 0.14499999582767487, 0.02199999988079071]",0.00028492530691437423,True,"[-3.4497008982725674e-07, -0.00028492510318756104, -0.009999999776482582]",0.0,0.009977083653211594,0.0,4.8460673971439645e-18,0.0
8,push,descend,push the red cylinder forward,red,cylinder,0,3,0.0,391.867000143975,436.1455000471324,"[-6.911313672555014e-06, -1.7721246227202312e-05, -0.002772135467670269, 0.0, 0.0, 0.0, 0.0]","[-3.15528950523003e-07, -0.00028301775455474854, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[3.15528950523003e-07, 0.14528301358222961, 0.049761462956666946]","[0.0, 0.14499999582767487, 0.02199999988079071]",0.0002830179291777313,True,"[-3.15528950523003e-07, -0.00028301775455474854, -0.009999999776482582]",0.0,0.009977083653211594,0.0,5.905540178036584e-19,0.0
9,push,descend,push the red cylinder forward,red,cylinder,1,4,329.96700005605817,389.76369984447956,765.3476998675615,"[-6.911313672555014e-06, -1.7721246227202312e-05, -0.002772135467670269, 0.0, 0.0, 0.0, 0.0]","[-2.8408908292476553e-07, -0.0002732276916503906, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[2.8408908292476553e-07, 0.14527322351932526, 0.044175952672958374]","[0.0, 0.14499999582767487, 0.02199999988079071]",0.0002732278371695429,True,"[-2.8408908292476553e-07, -0.0002732276916503906, -0.009999999776482582]",0.0,0.009977083653211594,0.0,3.0601910720868782e-18,0.0
10,push,descend,push the red cylinder forward,red,cylinder,0,4,0.0,394.8726998642087,433.08230000548065,"[-6.911313672555014e-06, -1.7721246227202312e-05, -0.002772135467670269, 0.0, 0.0, 0.0, 0.0]","[-2.5218403720828064e-07, -0.000256463885307312, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[2.5218403720828064e-07, 0.14525645971298218, 0.03857772424817085]","[0.0, 0.14499999582767487, 0.02199999988079071]",0.00025646400172263384,True,"[-2.5218403720828064e-07, -0.000256463885307312, -0.009999999776482582]",0.0,0.009977083653211594,0.0,2.5476898168837235e-18,0.0
11,push,descend,push the red cylinder forward,red,cylinder,0,4,0.0,402.356400154531,440.9880000166595,"[-6.911313672555014e-06, -1.7721246227202312e-05, -0.002772135467670269, 0.0, 0.0, 0.0, 0.0]","[-2.209221889870605e-07, -0.00022904574871063232, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[2.209221889870605e-07, 0.1452290415763855, 0.032963257282972336]","[0.0, 0.14499999582767487, 0.02199999988079071]",0.00022904586512595415,True,"[-2.209221889870605e-07, -0.00022904574871063232, -0.009999999776482582]",0.0,0.009977083653211594,0.0,1.0811872645888712e-17,0.0
