step,task,stage,instruction,target_color,object_shape,request_sent,server_request_count,latency_ms,motion_elapsed_ms,step_total_ms,raw_action7,assisted_action7,ee_pose_before,goal_xyz,target_xy_dist,exec_success,final_delta_xyz,gripper_cmd,target_object_z,target_object_lift,target_object_move_xy,target_object_move_y
0,push,approach,push the red cylinder forward,red,cylinder,1,1,347.18400007113814,391.8633998837322,780.1443999633193,"[-0.0004563574853407859, 0.011134109067554843, -0.0037340622863677436, 0.0, 0.0, 0.0, 0.0]","[2.238804484022694e-07, -0.009999999776482582, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[-2.238804484022694e-07, 0.14728718996047974, 0.09420847147703171]","[0.0, 0.13500000536441803, 0.07000000029802322]",0.012287184596061707,True,"[2.238804484022694e-07, -0.009999999776482582, -0.009999999776482582]",0.0,0.009977083653211594,0.0,1.0625829799958185e-17,0.0
1,push,descend,push the red cylinder forward,red,cylinder,0,1,0.0,395.0078999623656,442.793499911204,"[-0.0004563574853407859, 0.011134109067554843, -0.0037340622863677436, 0.0, 0.0, 0.0, 0.0]","[-1.0054693966310424e-08, -0.007828682661056519, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[1.0054693966310424e-08, 0.14282868802547455, 0.08899673074483871]","[0.0, 0.13500000536441803, 0.029999999329447746]",0.007828682661056519,True,"[-1.0054693966310424e-08, -0.007828682661056519, -0.009999999776482582]",0.0,0.009977083653211594,0.0,2.7231116637490692e-17,0.0
2,push,descend,push the red cylinder forward,red,cylinder,0,1,0.0,373.8925000652671,412.84820018336177,"[-0.0004563574853407859, 0.011134109067554843, -0.0037340622863677436, 0.0, 0.0, 0.0, 0.0]","[3.029006023780312e-08, -0.003870368003845215, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[-3.029006023780312e-08, 0.13887037336826324, 0.08350197970867157]","[0.0, 0.13500000536441803, 0.029999999329447746]",0.003870368003845215,True,"[3.029006023780312e-08, -0.003870368003845215, -0.009999999776482582]",0.0,0.009977083653211594,0.0,1.9661255979772915e-17,0.0
3,push,descend,push the red cylinder forward,red,cylinder,1,2,282.3479000944644,365.52729993127286,691.6134001221508,"[-9.68005480062005e-05, 0.003503909379177654, -0.0008482818302753149, 0.0, 0.0, 0.0, 0.0]","[-1.6244145228938578e-07, -0.001996338367462158, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[1.6244145228938578e-07, 0.1369963437318802, 0.07829292118549347]","[0.0, 0.13500000536441803, 0.029999999329447746]",0.001996338367462158,True,"[-1.6244145228938578e-07, -0.001996338367462158, -0.009999999776482582]",0.0,0.009977083653211594,0.0,3.188458330080781e-17,0.0
4,push,descend,push the red cylinder forward,red,cylinder,0,2,0.0,376.58279994502664,410.25039996020496,"[-9.68005480062005e-05, 0.003503909379177654, -0.0008482818302753149, 0.0, 0.0, 0.0, 0.0]","[-3.202514449185401e-07, -0.0011402368545532227, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[3.202514449185401e-07, 0.13614024221897125, 0.07315407693386078]","[0.0, 0.13500000536441803, 0.029999999329447746]",0.0011402368545532227,True,"[-3.202514449185401e-07, -0.0011402368545532227, -0.009999999776482582]",0.0,0.009977083653211594,0.0,3.4243861226486655e-17,0.0
5,push,descend,push the red cylinder forward,red,cylinder,0,2,0.0,372.51890008337796,418.7247999943793,"[-9.68005480062005e-05, 0.003503909379177654, -0.0008482818302753149, 0.0, 0.0, 0.0, 0.0]","[-3.7992987245161203e-07, -0.0007563531398773193, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[3.7992987245161203e-07, 0.13575635850429535, 0.06805408746004105]","[0.0, 0.13500000536441803, 0.029999999329447746]",0.0007563532562926412,True,"[-3.7992987245161203e-07, -0.0007563531398773193, -0.009999999776482582]",0.0,0.009977083653211594,0.0,6.9616139083561e-17,0.0
6,push,descend,push the red cylinder forward,red,cylinder,1,3,270.68810001946986,370.44119997881353,688.9835000038147,"[-6.911313672555014e-06, -1.7721246227202312e-05, -0.002772135467670269, 0.0, 0.0, 0.0, 0.0]","[-3.896119551427546e-07, -0.0005873590707778931, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[3.896119551427546e-07, 0.13558736443519592, 0.06296409666538239]","[0.0, 0.13500000536441803, 0.029999999329447746]",0.0005873591871932149,True,"[-3.896119551427546e-07, -0.0005873590707778931, -0.009999999776482582]",0.0,0.009977083653211594,0.0,5.986637957908018e-17,0.0
7,push,descend,push the red cylinder forward,red,cylinder,0,3,0.0,373.83730011060834,414.63589994236827,"[-6.911313672555014e-06, -1.7721246227202312e-05, -0.002772135467670269, 0.0, 0.0, 0.0, 0.0]","[-3.740678096164629e-07, -0.0005078911781311035, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[3.740678096164629e-07, 0.13550789654254913, 0.057869818061590195]","[0.0, 0.13500000536441803, 0.029999999329447746]",0.0005078912945464253,True,"[-3.740678096164629e-07, -0.0005078911781311035, -0.009999999776482582]",0.0,0.009977083653211594,0.0,8.953487653568697e-17,0.0
8,push,descend,push the red cylinder forward,red,cylinder,0,3,0.0,375.3549000248313,420.6008000764996,"[-6.911313672555014e-06, -1.7721246227202312e-05, -0.002772135467670269, 0.0, 0.0, 0.0, 0.0]","[-3.463808297965443e-07, -0.0004664510488510132, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[3.463808297965443e-07, 0.13546645641326904, 0.05276325345039368]","[0.0, 0.13500000536441803, 0.029999999329447746]",0.000466451165266335,True,"[-3.463808297965443e-07, -0.0004664510488510132, -0.009999999776482582]",0.0,0.009977083653211594,0.0,8.244611735711983e-17,0.0
9,push,descend,push the red cylinder forward,red,cylinder,1,4,405.6001999415457,372.29430000297725,820.0089000165462,"[-6.911313672555014e-06, -1.7721246227202312e-05, -0.002772135467670269, 0.0, 0.0, 0.0, 0.0]","[-3.134135795335169e-07, -0.0004398822784423828, -0.009999999776482582, 0.0, 0.0, 0.0, 0.0]","[3.134135795335169e-07, 0.1354398876428604, 0.0476396381855011]","[0.0, 0.13500000536441803, 0.029999999329447746]",0.00043988239485770464,True,"[-3.134135795335169e-07, -0.0004398822784423828, -0.009999999776482582]",0.0,0.009977083653211594,0.0,9.382998374222774e-17,0.0
