Target color counts: {'red': 100, 'blue': 100, 'green': 100, 'yellow': 100}
[Attempt 0001] episode_id=000001 | task_type='grasp' | color='red' | target_xy=(-0.055, 0.181) | instruction='grasp the red cylinder' | success=True | success_counts={'red': 1, 'blue': 0, 'green': 0, 'yellow': 0}
[Attempt 0002] episode_id=000002 | task_type='grasp' | color='green' | target_xy=(-0.094, 0.213) | instruction='grasp the green cylinder' | success=False | success_counts={'red': 1, 'blue': 0, 'green': 0, 'yellow': 0}
[Attempt 0003] episode_id=000002 | task_type='grasp' | color='red' | target_xy=(0.071, 0.185) | instruction='grasp the red cylinder' | success=True | success_counts={'red': 2, 'blue': 0, 'green': 0, 'yellow': 0}
[Attempt 0004] episode_id=000003 | task_type='grasp' | color='blue' | target_xy=(0.012, 0.205) | instruction='grasp the blue cylinder' | success=True | success_counts={'red': 2, 'blue': 1, 'green': 0, 'yellow': 0}
[Attempt 0005] episode_id=000004 | task_type='grasp' | color='blue' | target_xy=(-0.029, 0.197) | instruction='grasp the blue cylinder' | success=True | success_counts={'red': 2, 'blue': 2, 'green': 0, 'yellow': 0}
[Attempt 0006] episode_id=000005 | task_type='grasp' | color='green' | target_xy=(0.031, 0.189) | instruction='grasp the green cylinder' | success=True | success_counts={'red': 2, 'blue': 2, 'green': 1, 'yellow': 0}
[Attempt 0007] episode_id=000006 | task_type='grasp' | color='green' | target_xy=(0.039, 0.180) | instruction='grasp the green cylinder' | success=True | success_counts={'red': 2, 'blue': 2, 'green': 2, 'yellow': 0}
[Attempt 0008] episode_id=000007 | task_type='grasp' | color='blue' | target_xy=(0.035, 0.241) | instruction='grasp the blue cylinder' | success=False | success_counts={'red': 2, 'blue': 2, 'green': 2, 'yellow': 0}
[Attempt 0009] episode_id=000007 | task_type='grasp' | color='blue' | target_xy=(0.043, 0.186) | instruction='grasp the blue cylinder' | success=False | success_counts={'red': 2, 'blue': 2, 'green': 2, 'yellow': 0}
[Attempt 0010] episode_id=000007 | task_type='grasp' | color='blue' | target_xy=(0.048, 0.165) | instruction='grasp the blue cylinder' | success=False | success_counts={'red': 2, 'blue': 2, 'green': 2, 'yellow': 0}
[Attempt 0011] episode_id=000007 | task_type='grasp' | color='green' | target_xy=(0.005, 0.226) | instruction='grasp the green cylinder' | success=True | success_counts={'red': 2, 'blue': 2, 'green': 3, 'yellow': 0}
[Attempt 0012] episode_id=000008 | task_type='grasp' | color='red' | target_xy=(0.075, 0.222) | instruction='grasp the red cylinder' | success=False | success_counts={'red': 2, 'blue': 2, 'green': 3, 'yellow': 0}
[Attempt 0013] episode_id=000008 | task_type='grasp' | color='blue' | target_xy=(0.051, 0.172) | instruction='grasp the blue cylinder' | success=True | success_counts={'red': 2, 'blue': 3, 'green': 3, 'yellow': 0}
[Attempt 0014] episode_id=000009 | task_type='grasp' | color='yellow' | target_xy=(0.044, 0.170) | instruction='grasp the yellow cylinder' | success=True | success_counts={'red': 2, 'blue': 3, 'green': 3, 'yellow': 1}
[Attempt 0015] episode_id=000010 | task_type='grasp' | color='red' | target_xy=(-0.046, 0.173) | instruction='grasp the red cylinder' | success=True | success_counts={'red': 3, 'blue': 3, 'green': 3, 'yellow': 1}
[Attempt 0016] episode_id=000011 | task_type='grasp' | color='blue' | target_xy=(0.035, 0.247) | instruction='grasp the blue cylinder' | success=False | success_counts={'red': 3, 'blue': 3, 'green': 3, 'yellow': 1}
[Attempt 0017] episode_id=000011 | task_type='grasp' | color='blue' | target_xy=(-0.006, 0.215) | instruction='grasp the blue cylinder' | success=True | success_counts={'red': 3, 'blue': 4, 'green': 3, 'yellow': 1}
[Attempt 0018] episode_id=000012 | task_type='grasp' | color='red' | target_xy=(0.040, 0.239) | instruction='grasp the red cylinder' | success=False | success_counts={'red': 3, 'blue': 4, 'green': 3, 'yellow': 1}
[Attempt 0019] episode_id=000012 | task_type='grasp' | color='yellow' | target_xy=(0.095, 0.232) | instruction='grasp the yellow cylinder' | success=True | success_counts={'red': 3, 'blue': 4, 'green': 3, 'yellow': 2}
[Attempt 0020] episode_id=000013 | task_type='grasp' | color='yellow' | target_xy=(0.093, 0.182) | instruction='grasp the yellow cylinder' | success=True | success_counts={'red': 3, 'blue': 4, 'green': 3, 'yellow': 3}
[Attempt 0021] episode_id=000014 | task_type='grasp' | color='green' | target_xy=(0.095, 0.221) | instruction='grasp the green cylinder' | success=False | success_counts={'red': 3, 'blue': 4, 'green': 3, 'yellow': 3}
[Attempt 0022] episode_id=000014 | task_type='grasp' | color='blue' | target_xy=(0.026, 0.209) | instruction='grasp the blue cylinder' | success=True | success_counts={'red': 3, 'blue': 5, 'green': 3, 'yellow': 3}
[Attempt 0023] episode_id=000015 | task_type='grasp' | color='yellow' | target_xy=(-0.037, 0.225) | instruction='grasp the yellow cylinder' | success=False | success_counts={'red': 3, 'blue': 5, 'green': 3, 'yellow': 3}
[Attempt 0024] episode_id=000015 | task_type='grasp' | color='green' | target_xy=(0.018, 0.199) | instruction='grasp the green cylinder' | success=True | success_counts={'red': 3, 'blue': 5, 'green': 4, 'yellow': 3}
[Attempt 0025] episode_id=000016 | task_type='grasp' | color='yellow' | target_xy=(-0.024, 0.241) | instruction='grasp the yellow cylinder' | success=True | success_counts={'red': 3, 'blue': 5, 'green': 4, 'yellow': 4}
[Attempt 0026] episode_id=000017 | task_type='grasp' | color='red' | target_xy=(-0.076, 0.175) | instruction='grasp the red cylinder' | success=True | success_counts={'red': 4, 'blue': 5, 'green': 4, 'yellow': 4}
[Attempt 0027] episode_id=000018 | task_type='grasp' | color='blue' | target_xy=(-0.005, 0.178) | instruction='grasp the blue cylinder' | success=True | success_counts={'red': 4, 'blue': 6, 'green': 4, 'yellow': 4}
[Attempt 0028] episode_id=000019 | task_type='grasp' | color='green' | target_xy=(-0.002, 0.246) | instruction='grasp the green cylinder' | success=False | success_counts={'red': 4, 'blue': 6, 'green': 4, 'yellow': 4}
[Attempt 0029] episode_id=000019 | task_type='grasp' | color='blue' | target_xy=(-0.081, 0.161) | instruction='grasp the blue cylinder' | success=True | success_counts={'red': 4, 'blue': 7, 'green': 4, 'yellow': 4}
[Attempt 0030] episode_id=000020 | task_type='grasp' | color='green' | target_xy=(0.041, 0.225) | instruction='grasp the green cylinder' | success=False | success_counts={'red': 4, 'blue': 7, 'green': 4, 'yellow': 4}
[Attempt 0031] episode_id=000020 | task_type='grasp' | color='blue' | target_xy=(-0.084, 0.214) | instruction='grasp the blue cylinder' | success=True | success_counts={'red': 4, 'blue': 8, 'green': 4, 'yellow': 4}
[Attempt 0032] task_type='grasp' | color='red' | exception: 도달할 수 없는 좌표입니다: (-7.56, 24.96, 2.00) cm
[Attempt 0033] episode_id=000021 | task_type='grasp' | color='yellow' | target_xy=(-0.086, 0.228) | instruction='grasp the yellow cylinder' | success=False | success_counts={'red': 4, 'blue': 8, 'green': 4, 'yellow': 4}
[Attempt 0034] episode_id=000021 | task_type='grasp' | color='yellow' | target_xy=(-0.076, 0.236) | instruction='grasp the yellow cylinder' | success=False | success_counts={'red': 4, 'blue': 8, 'green': 4, 'yellow': 4}
